from,to,distance,road_type,road_name,oneway
30037862,30037863,465.2133727293667,primary,Anna Salai (Mount Road),True
30037863,5528559497,19.111457307712495,primary,U turn in Guindy,True
30037863,301300008,81.68795551929793,primary,Anna Salai (Mount Road),True
30037866,3388925676,30.672977593504122,secondary,Velachery Road,True
30037866,256035580,89.24728124408051,primary,Towards Adayar,True
30037875,269768278,107.48060264561357,tertiary,,False
30037875,11778113354,42.12071546590074,primary,Anna Salai (Mount Road),True
30038751,364628444,98.86011480252266,residential,"1st Street, Balaji Nagar",False
30038751,364628438,82.39157490755278,primary,Inner Ring Road,True
30038752,369643898,206.46798392360196,primary,Inner Ring Road,True
30038752,11427772826,72.256637837369,residential,Pillaiyar Koil 1st Street,False
30038753,364637104,41.3382943198962,primary,Inner Ring Road,True
30038753,364628475,61.9218460394575,residential,Aovaiyaar Street,False
30051794,264031934,50.900064120876976,tertiary,Greenways Road,False
30051794,246825423,102.55018139040784,tertiary,Greenways Road,False
30051794,264031859,171.51126001464127,tertiary,Kamarajar Salai,False
30051796,264031598,147.2413085416015,tertiary,Kamarajar Salai,False
30051796,262680735,60.57770818164879,tertiary,Kamarajar Salai,False
30051796,262680772,100.38368298190008,residential,Park View Street,False
30051796,264031726,60.30506662641143,tertiary,Srinivasa Road,True
30237417,264040247,159.8780063560127,residential,,False
30237417,264040114,181.32134942062592,primary,DGS Dhinakaran Road,True
30268464,268790432,1038.8507774966536,primary,Sardar Patel Road,True
30268466,269219771,372.2819223005109,residential,West Canal Bank Road,False
30268466,249493615,82.2226671329705,primary,Sardar Patel Road,True
30268467,11936247015,12.083029371603708,primary,Rajiv Gandhi IT Expressway,True
243051152,30268466,24.10787380055623,primary,Sardar Patel Road,True
243051152,6816790397,13.656088694132858,primary,Rajiv Gandhi Salai,True
243051703,312031412,10.848982211382484,tertiary,Kasturibai Nagar 3rd Cross Street,False
243051703,9931546811,106.83225852708823,primary,Sardar Patel Road,True
243051706,249493611,13.238618137189956,residential,2nd Cross Street,False
243051706,11155218183,152.05289449313597,primary,Sardar Patel Road,True
243051708,249493600,25.656709244098874,primary,Sardar Patel Road,True
243051708,249497610,24.085469731131823,residential,,True
243051711,249493597,112.53792077149743,primary,Durgabai Deshmukh Road,True
243051711,249497690,44.45924376155015,primary_link,,True
243051718,12049269105,27.555371916726696,tertiary,Greenways Road,False
243051718,12049269093,30.20208931743238,primary,Durgabai Deshmukh Road,True
243064541,2215260391,86.48377583750607,primary,Durgabai Deshmukh Road,True
243064543,264031857,58.34227498538941,secondary,RK Mutt Road,True
243064543,1012658101,119.85936944275575,residential,Kuttigramani Street,False
243064543,246825948,46.5755454684211,primary,Broadie's Castle Road,True
243064547,9555938654,7.930004739781978,residential,,False
243064547,264040580,66.06708414453293,residential,Thiruvengadam Street,True
243323043,264040572,110.86744059618323,residential,Norton Road,False
243323043,264040569,92.52475562718348,tertiary,South Canal Bank Road,False
243325994,2407565891,29.517634021464996,residential,Theradi Street,False
243325994,2407565892,96.29762641677289,residential,"['East Mada Street', 'Theradi Street']",False
243325994,2407565892,97.70344086362354,"['residential', 'living_street']","['சன்னதி தெரு', 'தேரடி தெரு']",False
243326004,338406860,12.895431120939078,secondary,Velachery Main Road,False
243326004,4450473918,184.85466148335814,primary,Taramani Link Road,True
243326004,338461410,109.37630524790046,secondary,Velachery Main Road,False
246824741,2212827553,10.022541707674808,tertiary,Ponniamman Koil Road,False
246824741,335997558,86.25405257510684,secondary,Gandhi Mandapam Road,True
246824741,269219636,278.88413181229436,residential,Ranjith Road,False
246824743,269219209,38.14498305355729,residential,,False
246825423,30051794,102.55018139040784,tertiary,Greenways Road,False
246825423,12049269105,20.93785479743335,tertiary,Greenways Road,False
246825424,262680543,28.67826652965769,tertiary,Greenways Road,False
246825424,262680675,257.26426219059414,tertiary,PS Kumarasamy Raja Road,False
246825424,11792407272,91.9355675463059,residential,,False
246825428,262680786,74.5466232339879,residential,East Avenue,False
246825428,11645078611,33.635896450640985,tertiary,PS Kumarasamy Raja Road,False
246825428,246825431,191.80349650999796,tertiary,"['Greenways Road', 'PS Kumarasamy Raja Road']",False
246825431,2407564056,78.52852248535163,residential,South Kesawapuram Street,False
246825431,262680785,118.2011570406605,tertiary,Greenways Road,False
246825431,246825428,191.80349650999796,tertiary,"['Greenways Road', 'PS Kumarasamy Raja Road']",False
246825948,310503287,139.3384722303142,primary,Broadie's Castle Road,True
246825949,264040103,90.64108689949539,primary,DGS Dhinakaran Road,True
246827325,9181580882,78.92723060795225,tertiary,Srinivasa Road,True
246827325,264031599,90.33878122393003,residential,2nd Main Road,False
246827326,9502019360,124.70914763663974,tertiary,Srinivasa Road,True
246827326,410695946,63.70564155775552,residential,2nd Cross Street,False
246827326,264031582,96.46897159572936,residential,School View Road,False
246866333,333719120,9.843084667082909,residential,,False
246866333,301299659,261.3105208010784,primary,East Coast Road,True
246866335,334547778,44.67602507270785,residential,Rajaji Nagar Main Road,False
246866335,246866333,204.80002589363363,primary,East Coast Road,True
246866969,338470506,11.354181378911873,tertiary,,False
246866969,1454664553,16.322331338989077,primary,Taramani Link Road,True
246867074,1183430847,7.643467556120243,tertiary,,False
246867074,1676204864,898.1980775921483,tertiary,Taramani Road,True
247074863,13284331470,209.5177054398532,secondary,1st Main Road,True
247074863,269768005,191.130124287629,primary,Anna Salai (Mount Road),True
247713922,14148225611,106.91690053451515,primary,Anna Salai (Mount Road),True
247714021,280088653,18.0287822642838,secondary,Alandur Road,False
247714021,2241065790,137.20972255508593,residential,,False
247714021,247714023,215.37398490533008,secondary,Alandur Road,False
247714023,2241063790,26.022473055825085,tertiary,,False
247714023,247714177,311.5443838697412,secondary,Alandur Road,False
247714023,247714021,215.37398490533005,secondary,Alandur Road,False
247714027,247714030,126.42891036614658,secondary,Alandur Road,True
247714027,2241058223,151.88862012701355,primary,Anna Salai (Mount Road),True
247714030,2241058288,23.4982040188497,tertiary,,False
247714030,2241058223,87.69333128357438,secondary,,True
247714030,247714177,330.29124562287564,secondary,Alandur Road,False
247714167,369149711,138.42858288924336,residential,,False
247714167,11738746804,23.296688206526888,secondary,Water Works Road,True
247714170,256029493,137.2836692965167,residential,,False
247714170,12756718991,40.092538700588776,secondary,Water Works Road,True
247714174,368386197,83.41733447699,secondary,,False
247714174,256029539,161.39413638091574,residential,,False
247714174,256029544,184.92129171631515,residential,,False
247714174,6496915031,63.920474727136465,secondary,,False
247714176,368386147,4.444955246021609,secondary,,False
247714176,368386197,30.320750771813906,secondary,,False
247714176,256029549,163.38258467510337,residential,,False
247714177,2241062418,24.337808719006393,secondary,,False
247714177,247714023,311.5443838697412,secondary,Alandur Road,False
247714177,247714030,330.29124562287564,secondary,Alandur Road,False
247714535,313444644,116.55945548312222,secondary,Racecourse Road,True
247714547,11944753128,101.39485641158917,secondary,Racecourse Road,True
247714547,5733272620,349.9490478767513,residential,,False
247714655,13909222840,8.97939164336872,residential,,False
247714655,11238112990,135.85686499705204,secondary,Racecourse Road,True
247714661,247714662,7.489914144924624,residential,,False
247714661,11330205225,41.91567186130867,secondary,Racecourse Road,True
247714662,247714661,7.489914144924624,residential,,False
247714662,247714665,174.59669677259683,secondary,"['Racecourse Road', 'Race Course Road']",True
247714665,11925287669,8.430617007710653,secondary,Five Furlong Road,True
247714667,11632563840,6.089358600310938,secondary,Five Furlong Road,False
247714667,339291586,119.73711140475157,tertiary,Pillayar koil street,False
247714667,2168960252,215.0918595857822,secondary,Five Furlong Road,False
247714672,366081884,10.323222194171734,secondary,Five Furlong Road,False
247714672,2168960252,540.7527616030984,secondary,Five Furlong Road,False
247714672,300195705,202.04463729403523,secondary,Velachery Main Road,True
248700536,250363605,28.429772425551253,secondary,New Boag Road,False
248700536,250363595,75.58389045218046,residential,,False
249112798,7111954110,13.851421586235693,secondary,Velachery Main Road,True
249112798,325206177,225.8108405086178,primary,Velachery Bypass Road,True
249493597,6451636063,67.14204694345872,primary,Durgabai Deshmukh Road,True
249493597,249497618,10.805088511285946,residential,Gandhi Nagar 4th Main Road,True
249493598,249497600,159.90768551284685,residential,B. Ramachandra Adithanar Road,False
249493598,249493616,80.65752971937941,tertiary,Canal Bank Road,False
249493598,249497602,70.07880407535507,tertiary,Canal Bank Road,False
249493600,11158572903,11.500799111154981,primary,Sardar Patel Road,True
249493601,249493602,103.18001076771749,residential,2nd Cross Street,False
249493601,9179599578,47.78387088683095,residential,2nd Cross Street,False
249493601,11042266858,161.2426481509993,residential,Gandhi Nagar 3rd Main Road,False
249493601,249497608,321.54280765253134,residential,Gandhi Nagar 3rd Main Road,False
249493602,249493601,103.18001076771749,residential,2nd Cross Street,False
249493602,249497629,97.83892850528616,residential,B. Ramachandra Adithanar Road,False
249493602,249497592,375.46606158906457,residential,B. Ramachandra Adithanar Road,False
249493602,9179599586,193.80397741564207,residential,Crescent Park 1st Main Road,False
249493611,9179599582,54.897850998261156,residential,2nd Cross Street,False
249493611,243051706,13.238618137189956,residential,2nd Cross Street,False
249493611,11155218183,154.87660813683485,residential,Gandhi Nagar 1st Main Road,True
249493614,11510668897,11.386169230952943,tertiary,Canal Bank Road,False
249493614,249497606,330.72344208939796,residential,Gandhi Nagar 1st Main Road,True
249493614,249497584,103.18405608025498,tertiary,Canal Bank Road,False
249493615,11510668897,13.501404692573429,tertiary,Canal Bank Road,False
249493615,12756764775,68.81553088205139,primary,Sardar Patel Road,True
249493616,249493598,80.65752971937941,tertiary,Canal Bank Road,False
249493616,249497600,229.95835636509437,residential,3rd Canal Cross Street,False
249493616,334701849,99.25912352216653,tertiary,East Kottur Canal Bank Road,False
249493617,9179599583,46.37738989367628,residential,3rd Cross Street,False
249493617,249497628,116.30016585802917,residential,B. Ramachandra Adithanar Road,False
249493617,249497600,139.67419114975363,residential,B. Ramachandra Adithanar Road,False
249493617,249497620,111.1785064188328,residential,Crescent Avenue,False
249497584,249497604,72.75510349888833,tertiary,Canal Bank Road,False
249497584,249497599,179.3335359383078,residential,Gandhi Nagar 2nd Main Road,False
249497584,249493614,103.18405608025498,tertiary,Canal Bank Road,False
249497585,249497607,318.7543159105477,residential,Gandhi Nagar 2nd Main Road,False
249497585,9179599578,54.864491565096344,residential,2nd Cross Street,False
249497585,9179599582,48.21405353745596,residential,2nd Cross Street,False
249497585,249497587,290.4129720500738,residential,Gandhi Nagar 2nd Main Road,False
249497587,249497619,94.34620968527491,residential,1st Cross Street,False
249497587,249497593,122.55975829159321,residential,Gandhi Nagar 2nd Main Road,False
249497587,249497585,290.4129720500738,residential,Gandhi Nagar 2nd Main Road,False
249497587,249497610,99.23403623375314,residential,1st Cross Street,False
249497592,249497593,103.18400608792535,residential,Gandhi Nagar 2nd Main Road,False
249497592,6451636068,77.13808313441314,residential,B. Ramachandra Adithanar Road,False
249497592,249493602,375.46606158906457,residential,B. Ramachandra Adithanar Road,False
249497592,11772949114,88.9076078555459,residential,PS Road,False
249497593,249497619,103.50107691990931,residential,Gandhi Nagar 3rd Main Road,False
249497593,249497592,103.18400608792537,residential,Gandhi Nagar 2nd Main Road,False
249497593,249497587,122.5597582915932,residential,Gandhi Nagar 2nd Main Road,False
249497598,249497603,32.113740828495445,residential,4th Cross Street,False
249497598,249497605,32.446055388917735,residential,4th Cross Street,False
249497598,249497608,139.90273319778456,residential,Gandhi Nagar 3rd Main Road,False
249497599,9179599575,55.252726942803015,residential,4th Cross Street,False
249497599,249497607,141.44895695496947,residential,Gandhi Nagar 2nd Main Road,False
249497599,249497584,179.3335359383078,residential,Gandhi Nagar 2nd Main Road,False
249497600,249497603,69.50847021257914,residential,4th Cross Street,False
249497600,249493617,139.67419114975363,residential,B. Ramachandra Adithanar Road,False
249497600,249493598,159.90768551284685,residential,B. Ramachandra Adithanar Road,False
249497600,249493616,229.9583563650944,residential,3rd Canal Cross Street,False
249497602,249497603,167.24263009714278,residential,2nd Canal Cross Street,False
249497602,249497604,65.45310994247484,tertiary,Canal Bank Road,False
249497602,249493598,70.07880407535507,tertiary,Canal Bank Road,False
249497603,249497602,167.24263009714278,residential,2nd Canal Cross Street,False
249497603,249497600,69.50847021257914,residential,4th Cross Street,False
249497603,249497598,32.113740828495445,residential,4th Cross Street,False
249497604,249497605,172.33033265555434,residential,1st Canal Cross Street,False
249497604,249497602,65.45310994247484,tertiary,Canal Bank Road,False
249497604,249497584,72.75510349888833,tertiary,Canal Bank Road,False
249497605,249497604,172.33033265555434,residential,1st Canal Cross Street,False
249497605,249497598,32.446055388917735,residential,4th Cross Street,False
249497605,9179599575,14.622312799933665,residential,4th Cross Street,False
249497606,9179599579,51.77844138348357,residential,3rd Cross Street,False
249497606,249493611,319.30172684022125,residential,Gandhi Nagar 1st Main Road,True
249497607,9179599577,55.35905822212792,residential,3rd Cross Street,False
249497607,9179599579,49.902301589684356,residential,3rd Cross Street,False
249497607,249497585,318.7543159105477,residential,Gandhi Nagar 2nd Main Road,False
249497607,249497599,141.44895695496947,residential,Gandhi Nagar 2nd Main Road,False
249497608,9179599583,57.73792861016911,residential,3rd Cross Street,False
